10 0.00688483
10 0.00243817
10 0.00235596
10 0.00230861
10 0.0503001
10 0.0548768
10 0.00247581
10 0.00497669
10 0.00251464
10 0.00244913
100 0.0266014
100 0.0238849
100 0.0225877
100 0.025815
100 0.0226502
100 0.0223998
100 0.021483
100 0.0206481
100 0.0227061
100 0.021822
200 0.0822704
200 0.191963
200 0.106552
200 0.193432
200 0.163515
200 0.138707
200 0.0819398
200 0.0835345
200 0.112244
200 0.0888226
500 0.591736
500 0.894877
500 0.874083
500 0.711919
500 1.30162
500 0.668752
500 0.799608
500 0.984091
500 0.794813
500 0.797288
1000 2.57729
1000 3.3044
1000 2.73395
1000 2.55189
